siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,亞硝酸鹽氮,NO2_N,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,硝酸鹽氮,NO3_N,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,總凱氏氮,TKN,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,有機氮,Norg,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,氨氮,NH3_N,0.01,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,總有機碳,TOC,1.4,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,化學需氧量,COD,<4.0,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,溶氧(電極法),DO,6.9,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,懸浮固體,SS,7.1,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,氣溫,TMP,22.3,℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,採樣深度,SampleDepth,10.6,m,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,導電度,EC,246,μmho/cm25℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,濁度,TB,4,NTU,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,酸鹼值,pH,8.12," ",
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,透明度,SD,-,m,
