siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,溶氧(電極法),"Dissolved Oxygen",DO,8.6,mg/L,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,懸浮固體,"Suspended Solid",SS,8.4,mg/L,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,氣溫,Temperature,TMP,25.7,℃,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,採樣深度,"Sampling Depth",SampleDepth,44.1,m,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,導電度,Conductivity,EC,316,μmho/cm25℃,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,濁度,Turbidity,TB,9.2,NTU,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,酸鹼值,pH,pH,8.25," ",
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,0.5,透明度,Transparency,SD,2.8,m,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",底水,44.1,水溫,"Water Temperature",WT,20.4,℃,
2147,鯉魚潭水庫一,"Li-Yu-Tan Reservoir I",鯉魚潭水庫,苗栗縣,,120.7964781,24.3401739,229348.12,2692712.37,"2022-03-01 10:12:00",表水,44.1,葉綠素a,Chlorophyl-A,Chl_a,1.2,μg/L,
