siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit
2098,石門水庫三,"Shih-Men Reservoir III",石門水庫,桃園市,大溪區,121.2527260,24.8111930,275549.07,2744888.89,"2020-06-08 10:01:00",表水,0.5m,酸鹼值,pH,pH,8.43,
2098,石門水庫三,"Shih-Men Reservoir III",石門水庫,桃園市,大溪區,121.2527260,24.8111930,275549.07,2744888.89,"2020-06-08 10:01:00",表水,0.5m,透明度,Transparency,SD,1.6,m
2098,石門水庫三,"Shih-Men Reservoir III",石門水庫,桃園市,大溪區,121.2527260,24.8111930,275549.07,2744888.89,"2020-06-08 10:01:00",表水,0.5m,水溫,"Water Temperature",WT,26.5,℃
2098,石門水庫三,"Shih-Men Reservoir III",石門水庫,桃園市,大溪區,121.2527260,24.8111930,275549.07,2744888.89,"2020-06-08 10:01:00",表水,0.5m,卡爾森指數,"Carlson Trophic State Index",CTSI,44.13,
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,6.1,μg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,總磷,Total-Phosphate,TP,0.005,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,105.8,%
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,氨氮,NH3-N,NH3-N,0.02,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,總有機碳,"Total Organic Carbon",TOC,0.90,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,溶氧(電極法),"Dissolved Oxygen",DO,8.2,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,懸浮固體,"Suspended Solid",SS,1.6,mg/L
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,氣溫,Temperature,TMP,25.7,℃
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,採樣深度,"Sampling Depth",SDP,0.5,m
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,導電度,Conductivity,EC,221,μmho/cm25℃
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,濁度,Turbidity,TB,2.2,NTU
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,酸鹼值,pH,pH,8.41,
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,透明度,Transparency,SD,1.8,m
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,水溫,"Water Temperature",WT,26.3,℃
2097,石門水庫二,"Shih-Men Reservoir II",石門水庫,桃園市,大溪區,121.2445760,24.8099290,274725.40,2744747.39,"2020-06-08 10:15:00",表水,0.5m,卡爾森指數,"Carlson Trophic State Index",CTSI,42.41,
2096,石門水庫一,"Shih-Men Reservoir I",石門水庫,桃園市,大溪區,121.2424100,24.8034780,274507.70,2744032.49,"2020-06-08 10:28:00",表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,7.1,μg/L
2096,石門水庫一,"Shih-Men Reservoir I",石門水庫,桃園市,大溪區,121.2424100,24.8034780,274507.70,2744032.49,"2020-06-08 10:28:00",表水,0.5m,總磷,Total-Phosphate,TP,0.005,mg/L
2096,石門水庫一,"Shih-Men Reservoir I",石門水庫,桃園市,大溪區,121.2424100,24.8034780,274507.70,2744032.49,"2020-06-08 10:28:00",表水,0.5m,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,107.1,%
2096,石門水庫一,"Shih-Men Reservoir I",石門水庫,桃園市,大溪區,121.2424100,24.8034780,274507.70,2744032.49,"2020-06-08 10:28:00",表水,0.5m,氨氮,NH3-N,NH3-N,<0.01,mg/L
2096,石門水庫一,"Shih-Men Reservoir I",石門水庫,桃園市,大溪區,121.2424100,24.8034780,274507.70,2744032.49,"2020-06-08 10:28:00",表水,0.5m,總有機碳,"Total Organic Carbon",TOC,0.93,mg/L
