siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2106,榮湖水庫,"Jung-Hu Reservoir",榮湖水庫,金門縣,,118.4103420,24.4864920,190234.25,2709029.93,"2022-10-25 08:47:21",表水,0.5,總有機碳,"Total Organic Carbon",TOC,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2105,太湖水庫,"Tai-Hu Reservoir",太湖水庫,金門縣,,118.4268670,24.4400390,191887.89,2703877.87,"2022-10-25 11:35:58",表水,0.5,總有機碳,"Total Organic Carbon",TOC,-,mg/L,
2104,寶山水庫四,"Pao-Shan Reservoir IV",寶山水庫,新竹縣,,121.0425833,24.7472778,254307.11,2737786.74,"2023-01-07 09:56:05",底水,15.7,葉綠素a,Chlorophyl-A,Chl_a,2.1,μg/L,
