siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,3.8,μg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,總磷,Total-Phosphate,TP,0.009,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,116.4,%
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,氨氮,NH3-N,NH3-N,0.01,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,總有機碳,"Total Organic Carbon",TOC,1.08,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,溶氧(電極法),"Dissolved Oxygen",DO,8.6,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,懸浮固體,"Suspended Solid",SS,3.8,mg/L
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,氣溫,Temperature,TMP,32.1,℃
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,採樣深度,"Sampling Depth",SDP,0.5,m
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,導電度,Conductivity,EC,308,μmho/cm25℃
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,濁度,Turbidity,TB,4.1,NTU
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,酸鹼值,pH,pH,8.56,
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,透明度,Transparency,SD,1.8,m
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,水溫,"Water Temperature",WT,29.7,℃
2178,南化水庫一,"Nan-Hua Reservoir I",南化水庫,臺南市,南化區,120.5413470,23.0874430,203012.43,2554039.77,20190918,表水,0.5m,卡爾森指數,"Carlson Trophic State Index",CTSI,43.69,
2173,烏山頭水庫五,"Wu-Shan-Tou Reservoir V",烏山頭水庫,臺南市,官田區,120.3872440,23.1917290,187273.23,2565646.21,20190916,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,5.5,μg/L
2173,烏山頭水庫五,"Wu-Shan-Tou Reservoir V",烏山頭水庫,臺南市,官田區,120.3872440,23.1917290,187273.23,2565646.21,20190916,表水,0.5m,總磷,Total-Phosphate,TP,0.013,mg/L
