siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,化學需氧量,"Chemical Oxygen Demand",COD,8.6,mg/L
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,溶氧(電極法),"Dissolved Oxygen",DO,8.0,mg/L
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,懸浮固體,"Suspended Solid",SS,23.7,mg/L
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,氣溫,Temperature,TMP,30.6,℃
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,採樣深度,"Sampling Depth",SDP,0.5,m
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,導電度,Conductivity,EC,472,μmho/cm25℃
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,濁度,Turbidity,TB,28,NTU
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,酸鹼值,pH,pH,8.48,
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,透明度,Transparency,SD,0.4,m
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,水溫,"Water Temperature",WT,29.6,℃
2076,阿公店水庫二,"A-Kung-Tien Reservoir II",阿公店水庫,高雄市,燕巢區,120.3527360,22.8118680,183554.90,2523596.50,20190418,表水,0.5m,卡爾森指數,"Carlson Trophic State Index",CTSI,61.35,
2075,阿公店水庫一,"A-Kung-Tien Reservoir I",阿公店水庫,高雄市,燕巢區,120.3442810,22.8151120,182688.52,2523959.55,20190418,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,5.3,μg/L
2075,阿公店水庫一,"A-Kung-Tien Reservoir I",阿公店水庫,高雄市,燕巢區,120.3442810,22.8151120,182688.52,2523959.55,20190418,表水,0.5m,總磷,Total-Phosphate,TP,0.051,mg/L
2075,阿公店水庫一,"A-Kung-Tien Reservoir I",阿公店水庫,高雄市,燕巢區,120.3442810,22.8151120,182688.52,2523959.55,20190418,表水,0.5m,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,104.8,%
